ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,HDR-M-2.54_1x3,"J1,J2",HDR-M-2.54_1X3,2,,,LCSC,C180248,0.236
2,ALPS,R1,RES-ADJ-TH_RK1631110TT3,1,RK1631110TT3,ALPS Electric,LCSC,C370977,2.364
